11;53;32;0;25.545981
11;53;31;0.001412;23.47684
11;53;30;0.002986;21.197163
11;53;29;0.001881;19.068156
11;53;28;0.007738;17.352053
11;53;27;0.003737;15.489181
11;53;26;0.005883;13.770491
11;53;25;0.004537;12.401407
11;53;24;0.004413;10.91389
11;53;23;0.00801;9.557058
11;53;22;0.005411;8.313366
11;53;21;0.012464;7.341098
11;53;20;0.000815;6.311397
11;53;19;0.020108;5.371828
11;53;18;0.00679;4.650453
11;53;17;0.007226;3.889837
11;53;16;0.010479;3.220799
11;53;15;0.003341;2.709978
11;53;14;0.013445;2.189614
11;53;13;0.022062;1.739257
11;53;12;0.020292;1.352112
11;53;11;0.027382;1.070958
11;53;10;0.053139;0.797493
11;53;9;0.014145;0.573854
11;53;8;0.002503;0.419124
11;53;7;0.036696;0.277715
11;53;6;0.076151;0.171545
11;53;5;0.17494;0.106076
11;53;4;0.2082;0.054335
11;53;3;0.91171;0.022712
11;53;2;12.15374;0.006667
11;53;1;47.79632;0.00134
11;52;32;0;25.567576
11;52;31;0.001412;23.483918
11;52;30;0.002986;21.200026
11;52;29;0.001881;19.068254
11;52;28;0.007738;17.365919
11;52;27;0.003737;15.498561
11;52;26;0.005883;13.780204
11;52;25;0.004537;12.402911
11;52;24;0.004413;10.917105
11;52;23;0.00801;9.557057
11;52;22;0.005411;8.323189
11;52;21;0.012464;7.348086
11;52;20;0.000815;6.308712
11;52;19;0.020108;5.377599
11;52;18;0.00679;4.649434
11;52;17;0.007226;3.891614
11;52;16;0.010479;3.223957
11;52;15;0.003341;2.712508
11;52;14;0.013445;2.190564
11;52;13;0.022062;1.735369
11;52;12;0.020292;1.354381
11;52;11;0.027382;1.073599
11;52;10;0.053139;0.796552
11;52;9;0.014145;0.57374
11;52;8;0.002503;0.418907
11;52;7;0.036696;0.276903
11;52;6;0.076151;0.172501
11;52;5;0.17494;0.106172
11;52;4;0.2082;0.053855
11;52;3;0.91171;0.022572
11;52;2;12.15374;0.006639
